doc_id,filing_datetime,doc_type_name,doc_type_code_used,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XEJT,2026-01-09 11:03:00,Semi-Annual Report,160,日本プロセス株式会社,,,,,,538231000.0,,,,,,,,,
S100XEWG,2026-01-09 13:07:00,Semi-Annual Report,160,メディアファイブ株式会社,,,,,,29380000.0,,,,,,,,,
S100XF31,2026-01-09 13:14:00,Semi-Annual Report,160,ファーマライズホールディングス株式会社,,,,,,100000000.0,,,,,,,,,
S100XF0J,2026-01-09 14:37:00,Semi-Annual Report,160,日本オラクル株式会社,,,,,,41913000000.0,,,,,,,,,
S100XF4M,2026-01-09 15:30:00,Semi-Annual Report,160,株式会社ヴィレッジヴァンガードコーポレーション,,,,,,-608000000.0,,,,,,,,,
S100XEXG,2026-01-09 15:34:00,Semi-Annual Report,160,ビーウィズ株式会社,,,,,,855000000.0,,,,,,,,,
S100XF55,2026-01-09 15:48:00,Semi-Annual Report,160,Cocolive株式会社,,,,,,123056000.0,,,,,,,,,
S100XEZB,2026-01-09 15:52:00,Semi-Annual Report,160,株式会社中北製作所,,,,,,822079000.0,,,,,,,,,
S100XEJI,2026-01-09 16:05:00,Semi-Annual Report,160,株式会社オオバ,,,,,,792243000.0,,,,,,,,,
S100XEX3,2026-01-09 16:17:00,Semi-Annual Report,160,株式会社TAKARA &amp; COMPANY,,,,,,2100214000.0,,,,,,,,,
S100XF2K,2026-01-09 12:34:00,Semi-Annual Report Amendment,170,株式会社アクアライン,,6173.T,,,,,,,,,,,,,
S100XF50,2026-01-09 15:36:00,Semi-Annual Report Amendment,170,株式会社レントラックス,,6045.T,,,,,,,,,,,,,
S100XCD0,2026-01-13 09:01:00,Semi-Annual Report,160,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,,,,2123845.0,,,,,,,,,
S100X8V3,2026-01-13 09:02:00,Semi-Annual Report,160,ピクテ・ジャパン株式会社,,,,,,236408783.0,,,,,,,,,
S100X8VB,2026-01-13 09:07:00,Semi-Annual Report,160,ピクテ・ジャパン株式会社,,,,,,96403887.0,,,,,,,,,
S100X8VG,2026-01-13 09:10:00,Semi-Annual Report,160,ピクテ・ジャパン株式会社,,,,,,1100219144.0,,,,,,,,,
S100XF7S,2026-01-13 10:09:00,Semi-Annual Report,160,アーキテクツ・スタジオ・ジャパン株式会社,,,,,,21994000.0,,,,,,,,,
S100XFA4,2026-01-13 10:43:00,Semi-Annual Report,160,ミタチ産業株式会社,,,,,,947547000.0,,,,,,,,,
S100XF1L,2026-01-13 11:00:00,Semi-Annual Report,160,前澤工業株式会社,,,,,,499000000.0,,,,,,,,,
S100XEGI,2026-01-13 13:00:00,Semi-Annual Report,160,カネコ種苗株式会社,,,,,,340463000.0,,,,,,,,,
S100XFDH,2026-01-13 14:17:00,Semi-Annual Report,160,株式会社シイエヌエス,,,,,,226141000.0,,,,,,,,,
S100XEUK,2026-01-13 14:48:00,Semi-Annual Report,160,シグマ光機株式会社,,,,,,553163000.0,,,,,,,,,
S100XF3J,2026-01-13 15:19:00,Semi-Annual Report,160,株式会社毎日コムネット,,,,,,232406000.0,,,,,,,,,
S100XFDN,2026-01-13 15:30:00,Semi-Annual Report,160,株式会社Gunosy,,,,,,366000000.0,,,,,,,,,
S100XF5Y,2026-01-13 15:30:00,Semi-Annual Report,160,タマホーム株式会社,,,,,,-2279000000.0,,,,,,,,,
S100XF69,2026-01-13 15:30:00,Semi-Annual Report,160,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,,,,,,210463000.0,,,,,,,,,
S100XEAT,2026-01-13 15:34:00,Semi-Annual Report,160,株式会社ケイブ,,,,,,329101000.0,,,,,,,,,
S100XFD5,2026-01-13 15:56:00,Semi-Annual Report,160,株式会社プロパスト,,,,,,1796000000.0,,,,,,,,,
S100XFFB,2026-01-13 15:56:00,Semi-Annual Report,160,株式会社ジグザグ,,,,,,174834000.0,,,,,,,,,
S100XF9Z,2026-01-13 16:04:00,Semi-Annual Report,160,株式会社不動テトラ,,,,,,381000000.0,,,,,,,,,
S100XF8W,2026-01-13 16:50:00,Semi-Annual Report,160,株式会社インターアクション,,,,,,1182259000.0,,,,,,,,,
S100XFGE,2026-01-13 16:55:00,Semi-Annual Report,160,Abalance株式会社,,,,,,3161000000.0,,,,,,,,,
S100XEJA,2026-01-13 17:00:00,Semi-Annual Report,160,株式会社テンダ,,,,,,306153000.0,,,,,,,,,
S100XERH,2026-01-13 15:30:00,Semi-Annual Report Amendment,170,株式会社トーホー,,8142.T,,,,,,,,,,,,,
S100XCYN,2026-01-14 09:03:00,Semi-Annual Report,160,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,,,,4539804.0,,,,,,,,,
S100XE36,2026-01-14 09:05:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,-833655.0,,,,,,,,,
S100XF2Z,2026-01-14 09:06:00,Semi-Annual Report,160,株式会社オータケ,,,,,,513646000.0,,,,,,,,,
S100XF7O,2026-01-14 09:11:00,Semi-Annual Report,160,株式会社クリエイトＳＤホールディングス,,,,,,10462000000.0,,,,,,,,,
S100XE06,2026-01-14 09:12:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,-20349352.0,,,,,,,,,
S100X7MG,2026-01-14 09:15:00,Semi-Annual Report,160,ＨＳＢＣアセットマネジメント株式会社,HSBC Asset Management (Japan) Limited,,,,,-19240400.0,,,,,,,,,
S100XFIR,2026-01-14 09:45:00,Semi-Annual Report,160,Ｅ・Ｊホールディングス株式会社,,,,,,-1799000000.0,,,,,,,,,
S100XFH3,2026-01-14 10:00:00,Semi-Annual Report,160,東洋電機製造株式会社,Toyo Electric Manufacturing Co.,,,,,762000000.0,,,,,,,,,
S100XFHA,2026-01-14 10:19:00,Semi-Annual Report,160,株式会社ハニーズホールディングス,,,,,,3295243000.0,,,,,,,,,
S100XF7Q,2026-01-14 10:38:00,Semi-Annual Report,160,株式会社東武住販,,,,,,183694000.0,,,,,,,,,
S100XF8T,2026-01-14 10:40:00,Semi-Annual Report,160,三光合成株式会社,,,,,,2953000000.0,,,,,,,,,
S100XFLY,2026-01-14 10:43:00,Semi-Annual Report,160,株式会社ＩＫホールディングス,,,,,,103059000.0,,,,,,,,,
S100XFHK,2026-01-14 10:54:00,Semi-Annual Report,160,株式会社岡山製紙,,,,,,637777000.0,,,,,,,,,
S100XFBS,2026-01-14 11:23:00,Semi-Annual Report,160,ブックオフグループホールディングス株式会社,,,,,,1498000000.0,,,,,,,,,
S100XFL0,2026-01-14 12:00:00,Semi-Annual Report,160,株式会社大光,,,,,,279963000.0,,,,,,,,,
S100XFGS,2026-01-14 12:02:00,Semi-Annual Report,160,ファーストコーポレーション株式会社,,,,,,1564297000.0,,,,,,,,,
S100XFL2,2026-01-14 12:20:00,Semi-Annual Report,160,株式会社インターファクトリー,,,,,,105181000.0,,,,,,,,,
S100XFH2,2026-01-14 13:17:00,Semi-Annual Report,160,株式会社ニイタカ,,,,,,878654000.0,,,,,,,,,
S100XFIB,2026-01-14 13:20:00,Semi-Annual Report,160,ライク株式会社,,,,,,725660000.0,,,,,,,,,
