doc_id,filing_datetime,doc_type_name,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XBP3,2026-01-15 09:14:00,Securities Report,農林中金全共連アセットマネジメント株式会社,Norinchukin Zenkyoren Asset Management Co.,2087.T,2025-10-15,Japan GAAP,,3517821542.0,3517821542,,,,,,,,
S100X2LC,2026-01-15 09:15:00,Securities Report,楽天投信投資顧問株式会社,,,2025-10-15,Japan GAAP,,23588089.0,23588089,,,,,,,,
S100XBP9,2026-01-15 09:16:00,Securities Report,農林中金全共連アセットマネジメント株式会社,Norinchukin Zenkyoren Asset Management Co.,2088.T,2025-10-15,Japan GAAP,,636517988.0,636517988,,,,,,,,
S100X2LH,2026-01-15 09:16:00,Securities Report,楽天投信投資顧問株式会社,,,2025-10-15,Japan GAAP,,21085309893.0,21085309893,,,,,,,,
S100X2LP,2026-01-15 09:18:00,Securities Report,楽天投信投資顧問株式会社,,,2025-10-15,Japan GAAP,,3831158768.0,3831158768,,,,,,,,
S100XCWK,2026-01-15 09:18:00,Securities Report,ニッセイアセットマネジメント株式会社,Nissay Asset Management Corporation,,2025-10-15,Japan GAAP,,4973500960.0,4973500960,,,,,,,,
S100XFKV,2026-01-15 09:18:00,Securities Report,ゴールドマン・サックス・アセット・マネジメント株式会社,Goldman Sachs Asset Management Co.,,2025-10-15,Japan GAAP,,625854729.0,625854729,,,,,,,,
S100XBHF,2026-01-15 09:18:00,Securities Report,マニュライフ・インベストメント・マネジメント株式会社,,,2025-10-15,Japan GAAP,,409777799.0,409777799,,,,,,,,
S100XEBI,2026-01-15 09:22:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-15,Japan GAAP,,9016447685.0,9016447685,,,,,,,,
S100X23N,2026-01-15 09:24:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,84281135.0,84281135,,,,,,,,
S100XCVV,2026-01-15 09:58:00,Securities Report,ニッセイアセットマネジメント株式会社,Nissay Asset Management Corporation,,2025-10-15,Japan GAAP,,24259673.0,24259673,,,,,,,,
S100XFHI,2026-01-16 09:01:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2644.T,2025-10-24,Japan GAAP,,20375520571.0,20375520571,,,,,,,,
S100XEZN,2026-01-16 09:02:00,Securities Report,フィデリティ投信株式会社,Fidelity Investment Trust (Japan) Limited,,2025-10-20,Japan GAAP,,2048665908.0,2048665908,,,,,,,,
S100XBOR,2026-01-16 09:02:00,Securities Report,農林中金全共連アセットマネジメント株式会社,Norinchukin Zenkyoren Asset Management Co.,,2025-10-16,Japan GAAP,,10689959.0,10689959,,,,,,,,
S100XFHM,2026-01-16 09:02:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2645.T,2025-10-24,Japan GAAP,,57337832.0,57337832,,,,,,,,
S100XFHO,2026-01-16 09:04:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2646.T,2025-10-24,Japan GAAP,,273460209.0,273460209,,,,,,,,
S100X72O,2026-01-16 09:04:00,Securities Report,野村アセットマネジメント株式会社,Nomura Asset Management Co.,,2025-10-22,Japan GAAP,,1463880746.0,1463880746,,,,,,,,
S100XFHW,2026-01-16 09:05:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2847.T,2025-10-24,Japan GAAP,,59237988.0,59237988,,,,,,,,
S100XFHS,2026-01-16 09:07:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2848.T,2025-10-24,Japan GAAP,,2511486778.0,2511486778,,,,,,,,
S100XBYQ,2026-01-16 09:08:00,Securities Report,ブラックロック・ジャパン株式会社,,,2025-10-20,Japan GAAP,,532509863.0,532509863,,,,,,,,
S100XFHZ,2026-01-16 09:08:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2854.T,2025-10-24,Japan GAAP,,2264738096.0,2264738096,,,,,,,,
S100WYK7,2026-01-16 09:08:00,Securities Report,ＳＢＩ岡三アセットマネジメント株式会社,SBI Okasan Asset Management Co.,,2025-10-17,Japan GAAP,,1211088210.0,1211088210,,,,,,,,
S100XFI2,2026-01-16 09:10:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2858.T,2025-10-24,Japan GAAP,,36549031.0,36549031,,,,,,,,
S100XD1L,2026-01-16 09:11:00,Securities Report,ドイチェ・アセット・マネジメント株式会社,DEUTSCHE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,776246368.0,776246368,,,,,,,,
S100XBF0,2026-01-16 09:11:00,Securities Report,ブラックロック・ジャパン株式会社,,,2025-10-20,Japan GAAP,,5867823338.0,5867823338,,,,,,,,
S100XFIA,2026-01-16 09:12:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2098.T,2025-10-24,Japan GAAP,,484155783.0,484155783,,,,,,,,
S100XFID,2026-01-16 09:13:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2097.T,2025-10-24,Japan GAAP,,42324995.0,42324995,,,,,,,,
S100XFIH,2026-01-16 09:15:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,2096.T,2025-10-24,Japan GAAP,,26857843.0,26857843,,,,,,,,
S100XFIK,2026-01-16 09:16:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,315A.T,2025-10-24,Japan GAAP,,1166541152.0,1166541152,,,,,,,,
S100XC5G,2026-01-16 09:16:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,1616795790.0,1616795790,,,,,,,,
S100XDLH,2026-01-16 09:18:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,129787309.0,129787309,,,,,,,,
S100XC5J,2026-01-16 09:18:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,634694481.0,634694481,,,,,,,,
S100XC5L,2026-01-16 09:19:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,61824637.0,61824637,,,,,,,,
S100XC5O,2026-01-16 09:20:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,-68888683.0,-68888683,,,,,,,,
S100XFBW,2026-01-16 12:03:00,Securities Report,ＪＰモルガン・アセット・マネジメント株式会社,JPMORGAN ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,2484496703.0,2484496703,,,,,,,,
S100XF1Z,2026-01-16 12:06:00,Securities Report,ＪＰモルガン・アセット・マネジメント株式会社,JPMORGAN ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,135293384.0,135293384,,,,,,,,
S100XCTY,2026-01-19 09:01:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-22,Japan GAAP,,626625270.0,626625270,,,,,,,,
S100X7RK,2026-01-19 09:01:00,Securities Report,野村アセットマネジメント株式会社,Nomura Asset Management Co.,,2025-10-20,Japan GAAP,,66241161.0,66241161,,,,,,,,
S100XBAF,2026-01-19 09:04:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,1295634151.0,1295634151,,,,,,,,
S100XBB6,2026-01-19 09:14:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,1196516360.0,1196516360,,,,,,,,
S100XDWW,2026-01-19 09:14:00,Securities Report,朝日ライフ　アセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,825648515.0,825648515,,,,,,,,
S100XAVB,2026-01-19 09:17:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,2761270861.0,2761270861,,,,,,,,
S100X9ND,2026-01-19 09:19:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,-183547.0,-183547,,,,,,,,
S100XBCF,2026-01-19 09:19:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,127474035.0,127474035,,,,,,,,
S100XB9Z,2026-01-19 09:20:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,114813691.0,114813691,,,,,,,,
S100XBD4,2026-01-19 09:30:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,6317967385.0,6317967385,,,,,,,,
S100XBDU,2026-01-19 09:35:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-20,Japan GAAP,,154822495.0,154822495,,,,,,,,
S100XFRF,2026-01-19 09:38:00,Securities Report,株式会社キタック,,4707.T,2025-10-20,Japan GAAP,3467586000.0,146097000.0,207981000,,,,106863000.0,-141236000.0,-23812000.0,0.061,0.556
S100X8PN,2026-01-20 09:00:00,Securities Report,アムンディ・ジャパン株式会社,,,2025-10-20,Japan GAAP,,873783052.0,873783052,,,,,,,,
S100XFA8,2026-01-20 09:00:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,3217338.0,3217338,,,,,,,,
S100XD7Z,2026-01-20 09:01:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-27,Japan GAAP,,421855771.0,421855771,,,,,,,,
S100XD97,2026-01-20 09:01:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,57290526.0,57290526,,,,,,,,
S100X2AI,2026-01-20 09:01:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,-969262.0,-969262,,,,,,,,
S100XA6H,2026-01-20 09:01:00,Securities Report,ピクテ・ジャパン株式会社,,,2025-10-20,Japan GAAP,,220869777.0,220869777,,,,,,,,
S100XF9Q,2026-01-20 09:02:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,4015484336.0,4015484336,,,,,,,,
S100XDK9,2026-01-20 09:02:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,5474278601.0,5474278601,,,,,,,,
S100XF89,2026-01-20 09:02:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,670117239.0,670117239,,,,,,,,
S100XDKV,2026-01-20 09:02:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,562768874.0,562768874,,,,,,,,
S100X2AJ,2026-01-20 09:02:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,666165513.0,666165513,,,,,,,,
S100X2AK,2026-01-20 09:03:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,244454139.0,244454139,,,,,,,,
S100XF8V,2026-01-20 09:04:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,397690053.0,397690053,,,,,,,,
S100X2GQ,2026-01-20 09:04:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,113588900.0,113588900,,,,,,,,
S100XA6M,2026-01-20 09:04:00,Securities Report,ピクテ・ジャパン株式会社,,,2025-10-20,Japan GAAP,,474624703.0,474624703,,,,,,,,
S100XF9V,2026-01-20 09:04:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,91388151.0,91388151,,,,,,,,
S100XDHG,2026-01-20 09:04:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,3905626851.0,3905626851,,,,,,,,
S100X2GU,2026-01-20 09:05:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,2258247530.0,2258247530,,,,,,,,
S100X2GW,2026-01-20 09:06:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,2472897539.0,2472897539,,,,,,,,
S100XF5S,2026-01-20 09:06:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,2998853809.0,2998853809,,,,,,,,
S100XFC1,2026-01-20 09:06:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,9703422954.0,9703422954,,,,,,,,
S100XCFW,2026-01-20 09:06:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,30283999.0,30283999,,,,,,,,
S100XD83,2026-01-20 09:06:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-27,Japan GAAP,,719740957.0,719740957,,,,,,,,
S100X2H0,2026-01-20 09:07:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,535794670.0,535794670,,,,,,,,
S100XFGJ,2026-01-20 09:08:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,10173722333.0,10173722333,,,,,,,,
S100X2H3,2026-01-20 09:08:00,Securities Report,あおぞら投信株式会社,,,2025-10-20,Japan GAAP,,1428655049.0,1428655049,,,,,,,,
S100XFAX,2026-01-20 09:08:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,16943217834.0,16943217834,,,,,,,,
S100XF6E,2026-01-20 09:08:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,4866589.0,4866589,,,,,,,,
S100XDAU,2026-01-20 09:09:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,5136414401.0,5136414401,,,,,,,,
S100XDAJ,2026-01-20 09:10:00,Securities Report,ニッセイアセットマネジメント株式会社,Nissay Asset Management Corporation,,2025-10-20,Japan GAAP,,3727245.0,3727245,,,,,,,,
S100XDXW,2026-01-20 09:12:00,Securities Report,ドイチェ・アセット・マネジメント株式会社,DEUTSCHE ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,866029711.0,866029711,,,,,,,,
S100XCVF,2026-01-20 09:13:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-27,Japan GAAP,,2364973177.0,2364973177,,,,,,,,
S100XFGV,2026-01-20 09:13:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-20,Japan GAAP,,2724376835.0,2724376835,,,,,,,,
S100XD9G,2026-01-20 09:13:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,9565073794.0,9565073794,,,,,,,,
S100XDH1,2026-01-20 09:14:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,43359677.0,43359677,,,,,,,,
S100X23P,2026-01-20 09:14:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,11151879.0,11151879,,,,,,,,
S100X25K,2026-01-20 09:15:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,560225877.0,560225877,,,,,,,,
S100XDKF,2026-01-20 09:17:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,97274825.0,97274825,,,,,,,,
S100XCG0,2026-01-20 09:17:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-20,Japan GAAP,,906560318.0,906560318,,,,,,,,
S100X241,2026-01-20 09:18:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2025-10-27,Japan GAAP,,-346851271.0,-346851271,,,,,,,,
